date,underlier,start_equity,end_equity,daily_pnl,num_trades,num_rolls,max_equity,min_equity
2022-11-01,NIFTY,1000000.0,986238.65,-13761.35,344,171,1000000.0,986274.35
2022-11-01,BANKNIFTY,986238.65,967141.55,-19097.1,476,237,986238.65,967180.65
2022-11-02,NIFTY,967141.55,946530.4,-20611.15,516,257,967141.55,946568.95
2022-11-02,BANKNIFTY,946530.4,925500.45,-21029.95,526,262,946530.4,925533.6
2022-11-03,NIFTY,925500.45,903899.15,-21601.3,538,268,925500.45,903929.0
2022-11-03,BANKNIFTY,903899.15,883162.6,-20736.55,512,255,903899.15,883200.5
2022-11-04,NIFTY,883162.6,867353.15,-15809.45,394,196,883162.6,867386.0
2022-11-04,BANKNIFTY,867353.15,844766.3,-22586.85,562,280,867353.15,844803.75
2022-11-07,NIFTY,844766.3,834494.4,-10271.9,256,127,844766.3,834530.0
2022-11-07,BANKNIFTY,834494.4,819030.4,-15464.0,384,191,834494.4,819062.6
2022-11-09,NIFTY,819030.4,795885.8,-23144.6,580,289,819030.4,795922.5
2022-11-09,BANKNIFTY,795885.8,771508.25,-24377.55,608,303,795885.8,771543.2
2022-11-10,NIFTY,771508.25,765652.9,-5855.35,146,72,771508.25,765688.4
2022-11-10,BANKNIFTY,765652.9,749619.25,-16033.65,396,197,765652.9,749659.2
2022-11-11,NIFTY,749619.25,725441.35,-24177.9,604,301,749619.25,725481.35
2022-11-11,BANKNIFTY,725441.35,705676.0,-19765.35,492,245,725441.35,705710.75
2022-11-14,NIFTY,705676.0,697989.8,-7686.2,192,95,705676.0,698029.8
2022-11-14,BANKNIFTY,697989.8,674567.2,-23422.6,586,292,697989.8,674604.75
2022-11-15,NIFTY,674567.2,668361.75,-6205.45,154,76,674567.2,668399.4
2022-11-15,BANKNIFTY,668361.75,656790.8,-11570.95,288,143,668361.75,656830.8
2022-11-16,NIFTY,656790.8,640886.9,-15903.9,398,198,656790.8,640920.1
2022-11-16,BANKNIFTY,640886.9,613427.95,-27458.95,686,342,640886.9,613466.1
2022-11-17,NIFTY,613427.95,598553.75,-14874.2,372,185,613427.95,598592.85
2022-11-17,BANKNIFTY,598553.75,589098.0,-9455.75,234,116,598553.75,589113.6
2022-11-18,NIFTY,589098.0,580592.6,-8505.4,212,105,589098.0,580632.6
2022-11-18,BANKNIFTY,580592.6,574603.1,-5989.5,148,73,580592.6,574640.65
2022-11-21,NIFTY,574603.1,563049.55,-11553.55,288,143,574603.1,563089.55
2022-11-21,BANKNIFTY,563049.55,550075.85,-12973.7,322,160,563049.55,550115.85
2022-11-22,NIFTY,550075.85,543565.95,-6509.9,162,80,550075.85,543605.95
2022-11-22,BANKNIFTY,543565.95,533816.55,-9749.4,242,120,543565.95,533856.55
2022-11-23,NIFTY,533816.55,520110.85,-13705.7,342,170,533816.55,520149.7
2022-11-23,BANKNIFTY,520110.85,511438.05,-8672.8,216,107,520110.85,511473.65
2022-11-24,NIFTY,511438.05,491982.0,-19456.05,486,242,511438.05,492018.9
2022-11-24,BANKNIFTY,491982.0,474468.0,-17514.0,436,217,491982.0,474495.65
2022-11-25,NIFTY,474468.0,455951.35,-18516.65,462,230,474468.0,455990.0
2022-11-25,BANKNIFTY,455951.35,438704.0,-17247.35,430,214,455951.35,438743.9
2022-11-28,NIFTY,438704.0,411463.95,-27240.05,680,339,438704.0,411496.8
2022-11-28,BANKNIFTY,411463.95,389635.35,-21828.6,544,271,411463.95,389675.35
2022-11-29,NIFTY,389635.35,379025.7,-10609.65,264,131,389635.35,379064.4
2022-11-29,BANKNIFTY,379025.7,371374.95,-7650.75,190,94,379025.7,371407.65
2022-11-30,NIFTY,371374.95,351486.9,-19888.05,494,246,371374.95,351517.1
2022-11-30,BANKNIFTY,351486.9,343347.8,-8139.1,200,99,351486.9,343379.35
